time,open,high,low,close,symbol,Spread,上市至今交易周期数,涨跌幅,振幅,上涨,下跌,dc_dn,dc,上涨数量,下跌数量,上涨比例,rank_涨跌幅,rank_振幅,rank_sum,rank
2021-01-01 11:59:00,1.3658,1.4033,1.1222,1.1734,1INCH-USDT,0.0007675906183368,15,-0.14200058496636436,0.20581344267096202,0,1,0.7563,1,63,16,0.7974683544303798,1.0,2.0,3.0,1.0
2021-01-01 23:59:00,164.06,168.99,130.04,135.79,XMR-USDT,-0.0001472645607835,668,-0.17226455348978975,0.23741314153358536,0,1,130.04,1,22,57,0.27848101265822783,1.0,1.0,2.0,1.0
2021-01-02 11:59:00,1.1578,1.1626,1.0351,1.0706,1INCH-USDT,0.0005607476635514,17,-0.07531525306615994,0.11012264639834184,0,1,0.7563,1,23,56,0.2911392405063291,2.0,8.0,10.0,1.0
2021-01-02 23:59:00,0.4541,0.4568,0.3892,0.408,ALGO-USDT,0.0012269938650306,402,-0.10171730515191546,0.14886588857079935,0,1,0.2806,1,40,39,0.5063291139240507,1.0,7.0,8.0,1.0
2021-01-03 11:59:00,0.07227,0.07681,0.06479,0.06812,ZIL-USDT,0.0022068559658672,399,-0.057293108220315636,0.16632074166320746,0,1,0.05405,1,58,21,0.7341772151898734,2.0,7.0,9.0,1.0
2021-01-03 23:59:00,0.01311,0.0139999999999999,0.009403,0.009877,DOGE-USDT,0.0057123074259997,356,-0.24614562662188977,0.3506483600305034,0,1,0.00424,1,68,11,0.8607594936708861,1.0,2.0,3.0,1.0
2021-01-04 11:59:00,0.009878,0.011554,0.0077,0.008864,DOGE-USDT,-0.0002932352874833,357,-0.10256150653032292,0.3901599514071674,0,1,0.00424,1,14,65,0.17721518987341772,3.0,1.0,4.0,1.0
2021-01-04 23:59:00,3.5848,3.8492,3.3,3.573,SUSHI-USDT,0.0028066236317709,246,-0.0034862641193696975,0.15320241017630004,0,1,2.3009,1,74,5,0.9367088607594937,4.0,17.0,21.0,1.0
2021-01-05 11:59:00,2.4803,2.5012,2.0527,2.3778,SOL-USDT,-0.0026006711409395,227,-0.04244523195876282,0.1808249002136837,0,1,1.2544,1,64,15,0.810126582278481,2.0,8.0,10.0,1.0
2021-01-05 23:59:00,1.11431,1.24663,0.8595,0.91368,CTK-USDT,-0.0044889954238396,96,-0.1800412815220318,0.3474167870700253,0,1,0.78301,1,57,22,0.7215189873417721,1.0,3.0,4.0,1.0
2021-01-06 11:59:00,0.49367,0.51975,0.41788,0.4364,LRC-USDT,0.0068058599607798,159,-0.11434021999431754,0.20635242165819287,0,1,0.14464,1,74,5,0.9367088607594937,1.0,7.0,8.0,1.0
2021-01-06 23:59:00,2.0322,2.1578,1.6734,1.8753,SOL-USDT,-0.0340475945194189,230,-0.07729777602834087,0.2383623659088672,0,1,1.2857,1,57,22,0.7215189873417721,3.0,5.0,8.0,1.0
2021-01-07 11:59:00,0.33317,0.356,0.30616,0.31217,ADA-USDT,0.0006090133982945,685,-0.06283398378865201,0.14959330071735147,0,1,0.16313,1,40,39,0.5063291139240507,3.0,16.0,19.0,1.0
2021-01-07 23:59:00,1.4696,1.6204,1.25,1.2986,1INCH-USDT,0.0047195357833655,28,-0.11563606646690272,0.2520413718018509,0,1,0.7563,1,14,65,0.17721518987341772,5.0,4.0,9.0,1.0
2021-01-08 11:59:00,0.2023,0.215,0.1587599999999999,0.18132,CVC-USDT,-0.0004961137754256,117,-0.10005955926146504,0.2780029658922397,0,1,0.07955,1,40,39,0.5063291139240507,1.0,4.0,5.0,1.0
2021-01-08 23:59:00,0.4354,0.45749,0.36039,0.38525,ALPHA-USDT,0.0045894286682832,94,-0.11459171244053257,0.22301332108406066,0,1,0.17401,1,27,52,0.34177215189873417,1.0,6.0,7.0,1.0
2021-01-09 11:59:00,0.16519,0.17599,0.1461,0.1521799999999999,CVC-USDT,0.0052847139648566,119,-0.078367248062016,0.18094315636539743,0,1,0.07955,1,71,8,0.8987341772151899,1.0,9.0,10.0,1.0
2021-01-09 23:59:00,1.2375,1.2995,1.1264,1.1324,TOMO-USDT,0.0021238938053098,180,-0.08485534184580568,0.1398787878787879,0,1,0.6391,1,59,20,0.7468354430379747,2.0,13.0,15.0,1.0
2021-01-10 11:59:00,0.011376,0.013188,0.010226,0.010422,IOST-USDT,0.0033695966111486,649,-0.0833773087071239,0.26037271448663846,0,1,0.005311,1,13,66,0.16455696202531644,6.0,2.0,8.0,1.0
2021-01-10 23:59:00,3.363,3.619,2.84,3.062,EOS-USDT,0.0022257135375751,738,-0.08896161856590312,0.23163841807909616,0,1,2.564,1,37,42,0.46835443037974683,2.0,5.0,7.0,1.0
2021-01-11 11:59:00,601.36,604.6,457.14,486.12,BCH-USDT,0.0013801627356062,779,-0.1917398244213887,0.24521085539443932,0,1,331.0,1,3,76,0.0379746835443038,1.0,5.0,6.0,1.0
2021-01-11 23:59:00,97.27,102.3,77.64,88.2,ZEC-USDT,-0.0004533091568448,684,-0.09333881578947367,0.2535211267605634,0,1,55.19,1,39,40,0.4936708860759494,1.0,5.0,6.0,1.0
2021-01-12 11:59:00,0.06488,0.0709299999999999,0.06122,0.06441,ZIL-USDT,0.0024902723735409,417,-0.007091105287498123,0.14966091245375926,0,1,0.0515,1,56,23,0.7088607594936709,13.0,17.0,30.0,1.0
2021-01-12 23:59:00,0.039534,0.041368,0.035618,0.036618,RSR-USDT,-0.0003276003276004,172,-0.0737592957960237,0.14544442758132253,0,1,0.02675,1,15,64,0.189873417721519,1.0,13.0,14.0,1.0
2021-01-13 11:59:00,14.916,16.565,13.83,14.906,SNX-USDT,0.0014780972856758,305,-6.708257865428724e-05,0.18336015017430954,0,1,8.144,1,71,8,0.8987341772151899,8.0,8.0,16.0,1.0
2021-01-13 23:59:00,0.44144,0.47364,0.42376,0.4607600000000001,ALPHA-USDT,0.0037469501568492,104,0.0434349381765482,0.1129938383472272,1,0,0.23805,1,78,1,0.9873417721518988,22.0,26.0,48.0,1.0
2021-01-14 11:59:00,0.4605,0.47997,0.42172,0.44646,ALPHA-USDT,0.0057217516669672,105,-0.031035680180571457,0.12649294245385456,0,1,0.24222,1,45,34,0.569620253164557,3.0,6.0,9.0,1.0
2021-01-14 23:59:00,0.43226,0.44299,0.38489,0.40663,LRC-USDT,0.0035291214215202,176,-0.05920595992781452,0.13440984592606298,0,1,0.26353,1,51,28,0.6455696202531646,2.0,8.0,10.0,1.0
2021-01-15 11:59:00,88.735,89.529,80.483,82.165,KSM-USDT,0.0037749218139169,187,-0.0748643231922893,0.10194399053361122,0,1,57.7,1,55,24,0.6962025316455697,1.0,38.0,39.0,1.0
2021-01-15 23:59:00,0.48837,0.4946100000000001,0.38607,0.43755,ALPHA-USDT,0.0044074099579918,108,-0.10406044597333997,0.22224952392653127,0,1,0.27086,1,17,62,0.21518987341772153,1.0,6.0,7.0,1.0
2021-01-16 11:59:00,0.0247,0.025781,0.022009,0.023965,IOST-USDT,0.0016718913270639,661,-0.028734700494447596,0.15271255060728736,0,1,0.005762,1,77,2,0.9746835443037974,1.0,16.0,17.0,1.0
2021-01-16 23:59:00,0.023949,0.024016,0.019634,0.020824,IOST-USDT,0.0016354016354018,662,-0.13106613811808898,0.18297214915027768,0,1,0.005906,1,16,63,0.20253164556962025,1.0,8.0,9.0,1.0
2021-01-17 11:59:00,0.02083,0.020838,0.0167539999999999,0.0185,IOST-USDT,0.0,663,-0.11160199769496737,0.19606337013922698,0,1,0.005906,1,28,51,0.35443037974683544,1.0,6.0,7.0,1.0
2021-01-17 23:59:00,0.23569,0.254,0.22217,0.23233,ENJ-USDT,0.0051483949121744,222,-0.014256014256014304,0.13505027790742075,0,1,0.14018,1,66,13,0.8354430379746836,5.0,20.0,25.0,1.0
2021-01-18 11:59:00,1.69,1.781,1.471,1.505,CRV-USDT,0.0060160427807485,279,-0.10999408633944407,0.1834319526627218,0,1,0.527,1,55,24,0.6962025316455697,1.0,9.0,10.0,1.0
2021-01-18 23:59:00,0.60548,0.6190100000000001,0.5563899999999999,0.5775,OCEAN-USDT,0.0057471264367816,154,-0.046778027201901384,0.10342207835106051,0,1,0.3275,1,44,35,0.5569620253164557,1.0,11.0,12.0,1.0
2021-01-19 11:59:00,0.61934,0.64918,0.525,0.5622699999999999,GRT-USDT,0.0057777618775041,63,-0.09148637076055521,0.2005037620692995,0,1,0.23169,1,45,35,0.5625,1.0,2.0,3.0,1.0
2021-01-19 23:59:00,1.506,1.538,1.3119999999999998,1.332,CRV-USDT,0.0007513148009015,282,-0.11612475116124743,0.15006640106241714,0,1,0.527,1,5,75,0.0625,3.0,5.0,8.0,1.0
2021-01-20 11:59:00,0.46712,0.4920100000000001,0.39437,0.40652,LRC-USDT,0.001379446250862,187,-0.13021524241516547,0.2090255180681626,0,1,0.26353,1,4,77,0.04938271604938271,1.0,3.0,4.0,1.0
2021-01-20 23:59:00,0.13069,0.14459,0.1275,0.13644,SKL-USDT,0.0017621145374451,88,0.04288007337766575,0.130767464993496,1,0,0.08689,1,81,0,1.0,10.0,27.0,37.0,1.0
2021-01-21 11:59:00,0.42029,0.43544,0.35015,0.3538,ENJ-USDT,0.001103534138819,229,-0.15822031881989052,0.20293130933403122,0,1,0.14018,1,3,79,0.036585365853658534,2.0,2.0,4.0,1.0
2021-01-21 23:59:00,1.36397,1.54197,0.8012,0.932,CTK-USDT,0.0060449050086355,128,-0.3172961411116645,0.5430984552446169,0,1,0.8012,1,3,79,0.036585365853658534,1.0,1.0,2.0,1.0
2021-01-22 11:59:00,0.11648,0.119,0.09274,0.11512,SKL-USDT,0.0028748148793449,91,-0.010656583018219368,0.2254464285714285,0,1,0.09274,1,79,3,0.9634146341463414,3.0,11.0,14.0,1.0
2021-01-22 23:59:00,1.993,2.096,1.896,1.958,CRV-USDT,-0.0025471217524196,288,-0.01805416248746239,0.10035122930255903,0,1,0.601,1,64,18,0.7804878048780488,5.0,11.0,16.0,1.0
2021-01-23 11:59:00,1.70358,1.8566,1.6425900000000002,1.67163,BEL-USDT,0.0034395822078157,133,-0.019744326511464294,0.12562368658941747,0,1,0.91574,1,43,39,0.524390243902439,13.0,19.0,32.0,1.0
2021-01-23 23:59:00,2.132,2.282,2.056,2.133,CRV-USDT,-0.0032710280373832,290,-0.0004686035613870043,0.10600375234521574,0,1,0.6609999999999999,1,76,6,0.926829268292683,6.0,21.0,27.0,1.0
