time,open,high,low,close,symbol,Spread,涨跌幅,上涨,下跌,上涨数量,下跌数量,上涨比例,rank_涨跌幅,rank_sum,rank
2021-01-27 17:59:00,0.15388,0.15549,0.12648,0.13066,SKL-USDT,-0.0007647598654021,-0.15106230914170615,0,1,13,72,0.15294117647058825,1.0,1.0,1.0
2021-01-28 05:59:00,0.90806,0.93353,0.84595,0.8971899999999999,AXS-USDT,0.0009371339320576,-0.012068490888069272,0,1,83,2,0.9764705882352941,1.0,1.0,1.0
2021-01-28 17:59:00,0.02121,0.022,0.01963,0.02029,AKRO-USDT,0.003710116250309,-0.04247286455875421,0,1,71,15,0.8255813953488372,1.0,1.0,1.0
2021-01-29 05:59:00,1.7311299999999998,1.76,1.4259700000000002,1.52303,ALPHA-USDT,0.0065028185488933,-0.11933040360818781,0,1,30,56,0.3488372093023256,1.0,1.0,1.0
2021-01-29 17:59:00,0.068807,0.074271,0.035556,0.0447,DOGE-USDT,-0.008869179600887,-0.3507248060889523,0,1,47,39,0.5465116279069767,1.0,1.0,1.0
2021-01-30 05:59:00,0.044648,0.059999,0.02833,0.031793,DOGE-USDT,-0.0016140985542199,-0.2887472035794183,0,1,26,60,0.3023255813953488,1.0,1.0,1.0
2021-01-30 17:59:00,0.031788,0.038,0.025077,0.028474,DOGE-USDT,-0.0034578340239668,-0.10439404900449789,0,1,76,10,0.8837209302325582,1.0,1.0,1.0
2021-01-31 05:59:00,0.137655,0.142638,0.117789,0.12012,FTM-USDT,0.0047678795483061,-0.12698412698412687,0,1,41,45,0.47674418604651164,1.0,1.0,1.0
2021-01-31 17:59:00,0.54242,0.5539,0.47157,0.47592,LRC-USDT,0.0034578729864214,-0.12259872423583207,0,1,10,76,0.11627906976744186,1.0,1.0,1.0
2021-02-01 05:59:00,5.218,5.4349,4.6298,4.7624,1INCH-USDT,0.0041960991038483,-0.0867881112176413,0,1,74,12,0.8604651162790697,1.0,1.0,1.0
2021-02-01 17:59:00,0.5807,0.7577,0.3656,0.4035,XRP-USDT,0.0017875763444064,-0.3052685950413222,0,1,52,35,0.5977011494252874,1.0,1.0,1.0
2021-02-02 05:59:00,0.038865,0.038912,0.028768,0.033525,DOGE-USDT,0.0006805523219368,-0.13746526705773388,0,1,68,19,0.7816091954022989,1.0,1.0,1.0
2021-02-02 17:59:00,12.4284,12.9825,10.95,11.3307,BAND-USDT,0.0042275990428077,-0.08816049958957684,0,1,57,30,0.6551724137931034,1.0,1.0,1.0
2021-02-03 05:59:00,4.8327,4.8496,4.48,4.573,1INCH-USDT,0.0037754071732738,-0.05420777233149254,0,1,67,20,0.7701149425287356,1.0,1.0,1.0
2021-02-03 17:59:00,2.3026,2.3605,2.02,2.1356,LUNA-USDT,0.0080717488789239,-0.0736531621410601,0,1,72,15,0.8275862068965517,1.0,1.0,1.0
2021-02-04 05:59:00,2.6969,2.7591,2.495,2.5465,HNT-USDT,0.0033490937746256,-0.055872756933115886,0,1,34,53,0.39080459770114945,1.0,1.0,1.0
2021-02-04 17:59:00,0.15055,0.15486,0.13577,0.14298,BLZ-USDT,0.0046374367622259,-0.05028229823978736,0,1,41,46,0.47126436781609193,1.0,1.0,1.0
2021-02-05 05:59:00,516.248,522.9,454.0,478.969,AAVE-USDT,0.0046944713056209,-0.07216109410716365,0,1,78,9,0.896551724137931,1.0,1.0,1.0
2021-02-05 17:59:00,0.4262,0.4372,0.3724,0.3869,FLM-USDT,0.0067655477491543,-0.09263602251407121,0,1,74,13,0.8505747126436781,1.0,1.0,1.0
2021-02-06 05:59:00,0.05058,0.05086,0.03757,0.04199,AKRO-USDT,0.0045454545454546,-0.1693372898120672,0,1,18,69,0.20689655172413793,1.0,1.0,1.0
2021-02-06 17:59:00,0.3584,0.3596,0.3303,0.3362,FLM-USDT,0.0014894250819184,-0.06168015629360868,0,1,70,17,0.8045977011494253,1.0,1.0,1.0
2021-02-07 05:59:00,2.47453,2.65061,2.0397,2.11622,ALPHA-USDT,0.0041328392273347,-0.14451572738922502,0,1,9,78,0.10344827586206896,1.0,1.0,1.0
2021-02-07 17:59:00,0.8801,0.9052,0.7715,0.8005,ICX-USDT,0.0015013136494432,-0.09044426769685265,0,1,32,55,0.367816091954023,1.0,1.0,1.0
