,0
累积净值,5.33
年化收益,179.05%
最大回撤,-12.68%
最大回撤开始时间,2022-06-01 00:00:00
最大回撤结束时间,2022-06-07 12:00:00
年化收益/回撤比,14.12
盈利周期数,837.0
亏损周期数,354.0
胜率,70.28%
每周期平均收益,0.15%
盈亏收益比,0.69
单周期最大盈利,2.54%
单周期大亏损,-7.50%
最大连续盈利周期数,30.0
最大连续亏损周期数,6.0
