,0
累积净值,2.49
年化收益,75.01%
最大回撤,-34.58%
最大回撤开始时间,2021-04-16 03:00:00
最大回撤结束时间,2021-05-13 03:00:00
年化收益/回撤比,2.17
盈利周期数,817.0
亏损周期数,375.0
胜率,68.54%
每周期平均收益,0.09%
盈亏收益比,0.58
单周期最大盈利,2.30%
单周期大亏损,-8.91%
最大连续盈利周期数,17.0
最大连续亏损周期数,9.0
